196	306	4	881251021
196	340	3	881251045
196	1022	4	881251143
196	251	3	881251274
196	1007	4	881251601
196	1241	3	881251642
196	428	4	881251702
196	202	3	881251728
196	8	5	881251753
196	111	4	881251793
196	238	4	881251820
196	382	4	881251843
196	287	3	881251884
196	663	5	881251911
196	762	3	881251955
196	67	5	881252017
196	580	2	881252056
196	411	4	881252090
196	108	4	881252110
196	1118	4	881252128
196	94	3	881252172
196	110	1	881252305
186	322	5	879022927
186	291	4	879023073
186	121	2	879023074
186	100	4	879023115
186	983	3	879023152
186	118	2	879023242
186	406	1	879023272
186	281	4	879023390
186	56	3	879023460
186	939	5	879023529
186	55	4	879023556
186	263	3	879023571
186	250	1	879023607
186	1042	5	879023632
186	226	5	879023664
186	405	3	879023677
186	77	5	879023694
186	159	5	879023723
186	770	2	879023819
186	1213	3	879023882
186	385	4	879023894
186	237	2	879023934
186	934	3	879023968
186	550	4	879023985
186	540	4	879024014
186	294	3	879024099
186	225	4	879024148
186	1033	3	879024212
186	1336	3	879024346
186	95	3	879024535
186	299	3	879720962
186	302	3	891717742
186	887	4	891717761
186	303	3	891717938
186	330	4	891718038
186	880	3	891718700
186	333	3	891718820
186	988	4	891719775
186	98	5	891719859
22	683	1	878886307
22	1000	3	878886333
22	186	5	878886368
22	154	4	878886423
22	201	4	878886449
22	433	3	878886479
22	692	4	878886480
22	168	5	878886517
22	4	5	878886571
22	208	5	878886607
22	792	4	878886647
22	216	4	878886682
22	109	4	878886710
22	21	4	878886750
22	163	1	878886845
22	85	5	878886989
22	167	3	878887023
22	926	1	878887062
22	376	3	878887112
22	377	1	878887116
22	996	1	878887158
22	712	4	878887186
22	791	1	878887227
22	94	3	878887277
22	105	1	878887347
22	780	1	878887377
22	358	5	878887443
22	687	1	878887476
22	948	1	878887553
22	878	1	878887598
22	89	5	878887680
22	403	5	878887810
22	117	4	878887869
22	121	3	878887925
22	231	2	878887983
22	241	3	878888025
22	233	3	878888066
22	227	4	878888067
22	636	3	878888106
22	546	3	878888107
22	226	4	878888145
22	840	4	878888184
22	29	1	878888228
22	250	5	878888251
244	772	4	880601937
244	856	5	880602002
244	721	5	880602031
244	42	5	880602058
244	1045	5	880602132
244	68	5	880602170
244	89	5	880602210
244	226	1	880602264
244	237	5	880602334
244	56	5	880602440
244	3	5	880602451
244	92	4	880602478
244	156	4	880602517
244	7	4	880602558
244	537	5	880602593
244	780	4	880602843
244	241	4	880602893
244	318	5	880603082
244	215	4	880603242
244	101	5	880603288
244	367	1	880603442
244	31	4	880603484
244	77	4	880603512
244	475	4	880603582
244	433	5	880603683
244	179	5	880603833
244	660	4	880603881
244	739	3	880604004
244	157	4	880604119
244	732	1	880604148
244	9	5	880604179
244	1150	4	880604195
244	276	5	880604234
244	100	4	880604252
244	508	4	880604276
244	126	4	880604302
244	151	5	880604326
244	13	4	880604379
244	458	3	880604405
244	455	2	880604503
244	924	4	880604550
244	1017	4	880604583
244	762	3	880604616
244	685	2	880604642
244	1012	2	880604670
244	117	2	880604698
244	596	4	880604735
244	1028	3	880604830
244	676	4	880604858
244	235	1	880604910
244	249	4	880604930
244	118	2	880604981
244	281	3	880605010
244	148	2	880605071
244	866	5	880605131
244	1132	4	880605132
244	764	5	880605158
244	105	2	880605333
