rating1,rating2,probability
1,1,0.013496376811594202
1,2,0.010914855072463769
1,3,0.01442481884057971
1,4,0.013315217391304347
1,5,0.006385869565217392
2,1,0.01141304347826087
2,2,0.02452445652173913
2,3,0.03874547101449275
2,4,0.030706521739130434
2,5,0.012658514492753624
3,1,0.014990942028985507
3,2,0.042119565217391304
3,3,0.09814311594202899
3,4,0.09039855072463768
3,5,0.037069746376811596
4,1,0.012681159420289856
4,2,0.034375
4,3,0.09547101449275362
4,4,0.13471467391304348
4,5,0.06779891304347826
5,1,0.006521739130434782
5,2,0.011752717391304348
5,3,0.03992300724637681
5,4,0.07178442028985507
5,5,0.06567028985507246
